company_name,domain,tin,source,hubspot_checked,legal_name,hubspot_object_id,status,exists_in_hubspot,Score_1,sent_clay,error_message,reason_score1,pain_point1,segment,industri_sii,hubspot_lifecycle,hubspot_match_stage,manual_hubspot_checked,adjusted_vertical,enrichment_status,batch_id,batch_date,contacts_found,contacts_with_email,contacts_with_linkedin,ready_for_outreach,outreach_started_date,last_hs_activity_date,do_not_contact,signal,id,createdAt,updatedAt
Colina Verde,colinaverde.cl,76033618-1,webhook,True,COMERCIAL E INDUSTRIAL COLINA VERDE LIMITADA,,sent_to_clay,False,70,True,,"gran empresa (20 pts), 0 empresas hijas (0 pts), 463 trabajadores (5 pts), segmento sin clasificar (0 pts). Sernageomin (15 pts) por giro explícito en «explotación de otras minas y canteras»; estimación 50-200 proveedores (15 pts) típica en operaciones mineras de apoyo; sin señal externa reportada (0 pts).","Empresa de 463 trabajadores en apoyo minero enfrenta obligaciones regulatorias Sernageomin, gestiona decenas de proveedores y contratistas con documentación variada, renovaciones periódicas y riesgo legal por incumplimiento normativo.",mining / energía,ACTIVIDADES DE APOYO PARA LA EXPLOTACION DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS,,,,mining-hse,hs_checked,2026-W21,2026-05-18,,,,True,,,,,162,2026-05-15T19:49:00.211Z,2026-05-22T19:41:15.470Z
Fondo Esperanza,fondoesperanza.cl,76141388-0,webhook,True,FONDO ESPERANZA SPA,19634062109.0,sent_to_clay,True,71,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 699 trabajadores (8 pts), segmento sin clasificar (0 pts). CMF (15 pts) por giro explícito en actividades auxiliares de servicios financieros; estimación de 50-200 proveedores (15 pts) inferida por tamaño y naturaleza operativa; sin señal externa documentada (0 pts).","Empresa financiera con 699 trabajadores gestiona múltiples contrapartes en servicios auxiliares. Requiere validación continua de proveedores, cumplimiento normativo CMF y monitoreo post-aprobación. Estructura con dos holding padres añade complejidad en conflictos de interés.",financiero,OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.,lead,"""domain""",,fsi-reg,skipped_hs_activity | last_contact: 2026-04-10T08:00:00.000Z,2026-W22,2026-05-25,2.0,1.0,2.0,True,,2026-04-10T08:00:00.000Z,,,314,2026-05-15T20:41:18.376Z,2026-05-25T15:00:54.977Z
DP WORLD SAN ANTONIO,dpworld.com,76158513-4,webhook,True,DP WORLD SAN ANTONIO S.A.,50927461754.0,"""exists_in_hubspot""",True,73,True,,"Gran empresa (20 pts), 1 empresas hijas (3 pts), 287 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts). Estimación de 50-200 proveedores típicos para operador portuario con servicios acuáticos múltiples (15 pts). Sin señal (0 pts).","Operador portuario con 287 empleados y estructura de holding gestiona múltiples contrapartes logísticas, proveedores de servicios y contratistas especializados. Sin regulación sectorial explícita, pero exige validación continua de contrapartes, documentación operativa compleja y renovaciones periódicas de habilitaciones.",utilities / infraestructura,ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE ACUATICO,52560399,"""domain""",,util-infra,skipped_hs | lifecycle: 52560399 | last_contact: 2026-05-05T08:00:00.000Z,2026-W22,2026-05-25,2.0,2.0,2.0,True,,2026-05-05T08:00:00.000Z,,,328,2026-05-15T20:46:08.171Z,2026-05-25T15:00:55.058Z
Enaex,enaex.com,76041871-4,webhook,True,ENAEX SERVICIOS S.A.,9826815652.0,sent_to_clay,True,63,True,,"gran empresa (20 pts), 1 empresa hija (3 pts), 2168 trabajadores (10 pts), segmento sin clasificar (0 pts). Sernageomin (15 pts) por giro explícito en fabricación de explosivos. Estimación 50-200 proveedores (15 pts) dado tamaño operativo y sector con requerimientos especializados. Sin señal externa (0 pts).","Empresa de 2168 trabajadores con estructura holding compleja (3 padres, 1 hija) que fabrica explosivos bajo regulación estricta. Gestiona múltiples proveedores críticos, requiere cumplimiento normativo continuo y monitoreo post-aprobación en cadena de suministro de alto riesgo.",manufactura / retail,FABRICACION DE EXPLOSIVOS Y PRODUCTOS PIROTECNICOS,52560399,"""domain""",,mfg-retail-hold,skipped_hs | lifecycle: 52560399 | last_contact: 2026-05-13T08:00:00.000Z,2026-W22,2026-05-25,9.0,7.0,9.0,True,,2026-05-13T08:00:00.000Z,,,174,2026-05-15T19:53:09.072Z,2026-05-25T15:00:55.544Z
Pharmacorp SpA,pharmacorp.cl,76078039-1,webhook,True,LABORATORIO INTERNACIONAL PHARMACORP SBO SPA,,"""does_not_exists_in_hubspot""",False,68,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 192 trabajadores (3 pts), segmento (0 pts). Sin regulacion (0 pts). Estimación 50-200 proveedores (15 pts) inferida por tamaño operativo y naturaleza de manufactura alimenticia que demanda múltiples cadenas de suministro. Sin señal (0 pts).","Empresa manufacturera de 192 personas con estructura accionaria compleja (2 empresas matrices) requiere validar y monitorear 50-200 proveedores de insumos, empaques y servicios sin supervisión regulatoria explícita que obligue protocolos formales.",manufactura / retail,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,,,,mfg-retail-hold,hs_checked,2026-W21,2026-05-20,,,,True,,,,,231,2026-05-15T20:12:38.078Z,2026-05-20T15:00:27.500Z
Mallplaza,mallplaza.com,76034238-6,webhook,True,SERVICIOS MALLPLAZA SPA,8952840480.0,sent_to_clay,True,79,True,,"Gran empresa (20 pts), 2 empresas hijas (8 pts), 651 trabajadores (8 pts), segmento (0 pts). CMF (15 pts) por giro explícito en fondos y entidades financieras similares; estimación de 50-200 proveedores (15 pts) típica en holdings financieros de este tamaño con múltiples operaciones; sin señal externa (0 pts).","Holding financiero con 651 empleados y 2 filiales gestiona múltiples contrapartes bajo supervisión CMF. Requiere validación continua de proveedores, auditoría de cumplimiento regulatorio, monitoreo de conflictos de interés y renovación periódica de documentación.",financiero,FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES,50020179,"""domain""",,fsi-reg,skipped_hs | lifecycle: 50020179 | last_contact: 2026-04-27T08:00:00.000Z,2026-W21,2026-05-20,4.0,3.0,4.0,True,,2026-04-27T08:00:00.000Z,,,163,2026-05-15T19:49:21.419Z,2026-05-20T16:00:47.330Z
BE ON TIME SPA,beontime.cl,76066540-1,webhook,True,BE ON TIME SPA,18386101039.0,"""exists_in_hubspot""",True,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 381 trabajadores (5 pts), segmento (0 pts). Sin regulación específica por organismo (0 pts); transporte de carga no requiere supervisor regulador explícito. Estimación de 50-200 proveedores típicos en operaciones logísticas (15 pts). Sin señal externa reportada (0 pts).","Empresa de transporte de carga con 381 trabajadores gestiona múltiples proveedores y contratistas (combustible, mantención, logística). Requiere validación continua de documentación, licencias de conducir, permisos de circulación y cumplimiento tributario sin infraestructura formal de KYB.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,lead,"""domain""",,mfg-retail-hold,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,1.0,True,,2025-09-23T06:00:00.000Z,,,215,2026-05-15T20:07:03.140Z,2026-05-25T16:01:20.898Z
Tuves,tuves.com,76038873-4,webhook,True,TU VES S.A.,19634195086.0,"""exists_in_hubspot""",True,61,True,,"Gran empresa (20 pts), 1 empresa hija (3 pts), 93 trabajadores (3 pts), segmento sin clasificar (0 pts). SUBTEL (15 pts) por giro explícito en televisión satelital, que cae bajo telecomunicaciones. Proveedores estimados 50-200 (15 pts) por naturaleza de operación satelital con múltiples proveedores técnicos, de contenido y distribución. Sin señal externa (0 pts).","Empresa regulada en telecomunicaciones con estructura corporativa compleja (3 padres, 1 hija). Gestiona proveedores críticos de infraestructura satelital, contenidos y servicios técnicos. Requiere validación continua de contrapartes y cumplimiento normativo SUBTEL.",utilities / infraestructura,TELEVISION DE PAGO SATELITAL,lead,"""domain""",,util-infra,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,0.0,True,,2024-03-21T06:00:00.000Z,,,170,2026-05-15T19:51:44.263Z,2026-05-25T22:00:34.636Z
Cimbra,cimbra.cl,76123890-6,webhook,True,INGENIERIA Y CONSTRUCCIONES CIMBRA LIMITADA,55280818495.0,"""does_not_exists_in_hubspot""",True,73,True,,"gran empresa (20 pts), 1 empresas hijas (3 pts), 267 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts). Estimación de 50-200 proveedores típicos en construcción especializada (15 pts). Sin señal externa reportada (0 pts).","Empresa constructora con 267 empleados y estructura de holding gestiona múltiples proveedores y contratistas en obras de terminación. Sin regulación externa explícita, pero requiere validación continua de documentación, poderes y antecedentes financiero-tributarios de contrapartes para mitigar riesgo legal y operativo.",mining / energía,TERMINACION Y ACABADO DE EDIFICIOS,,,,util-infra,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,0.0,True,,,,,293,2026-05-15T20:34:02.636Z,2026-05-25T16:01:14.138Z
Soprole,soprole.cl,76101812-4,webhook,True,SOPROLE S.A.,10211832670.0,sent_to_clay,True,75,True,,"gran empresa (20 pts), 3 empresas hijas (15 pts), 1462 trabajadores (10 pts), segmento (0 pts). Sin regulacion (0 pts), estimados 50-200 proveedores por operaciones manufactureras diversificadas en lácteos (15 pts), sin señal (0 pts).","Manufactura láctea de escala nacional con 1.462 empleados y estructura holding (3 filiales). Gestiona cadena de suministro compleja: proveedores agrícolas, insumos, logística, distribución. Requiere validación continua de contrapartes, monitoreo de documentación y cumplimiento tributario sin obligación regulatoria explícita.",manufactura / retail,ELABORACION DE PRODUCTOS LACTEOS,52560399,"""domain""",,mfg-retail-hold,skipped_hs | lifecycle: 52560399 | last_contact: 2026-05-15T08:00:00.000Z,2026-W21,2026-05-20,10.0,10.0,10.0,True,,2026-05-15T08:00:00.000Z,,,264,2026-05-15T20:24:03.597Z,2026-05-20T16:00:47.431Z
PPS,tytexport.com,76181799-K,webhook,True,PREMIUM PACKAGING SERVICES SPA,23865010105.0,"""exists_in_hubspot""",True,73,True,,"gran empresa (20 pts), 0 empresas hijas (0 pts), 644 trabajadores (8 pts), segmento (0 pts). Sin regulación (0 pts); giro de almacenamiento y depósito no es supervisado por CMF, Sernageomin, SEC, CNE, SISS, SUBTEL ni Supersal. Estimados 50-200 proveedores típicos para operación logística de este tamaño (15 pts). Sin señal externa documentada (0 pts).","Empresa de 644 trabajadores en logística y almacenamiento enfrenta gestión de decenas de proveedores de servicios, transporte y suministros. Sin regulación externa, pero requiere validación continua de contrapartes, renovación de documentos y monitoreo post-aprobación para mitigar riesgos operativos.",utilities / infraestructura,OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.,lead,"""domain""",,mfg-retail-hold,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,1.0,True,,2024-11-08T06:00:00.000Z,,,352,2026-05-15T20:54:28.456Z,2026-05-25T16:02:45.144Z
PESQUERA FIORDO AUSTRAL S.A.,fiordoaustral.com,76041492-1,webhook,True,PESQUERA FIORDO AUSTRAL S.A.,36350871410.0,"""exists_in_hubspot""",True,60,True,,"gran empresa (20 pts), 4 empresas hijas (15 pts), 244 trabajadores (5 pts), segmento (0 pts). Sin regulación externa específica (0 pts); producción de harina de pescado no requiere supervisión de CMF, Sernageomin, SEC, CNE, SISS ni SUBTEL. Estimado 50-200 proveedores típicos en manufactura pesquera (15 pts): proveedores de materias primas, servicios logísticos, mantenimiento industrial. Sin señal externa registrada (0 pts).","Empresa pesquera de gran escala (244 empleados) con estructura holding compleja (4 filiales). Requiere gestión continua de proveedores de insumos, servicios logísticos y contratistas especializados. Riesgo de incumplimientos tributarios y validación de poderes en múltiples entidades vinculadas.",manufactura / retail,PRODUCCION DE HARINA DE PESCADO,50020180,"""domain""",,mfg-retail-hold,skipped_hs_lifecycle | lifecycle: 50020180,2026-W22,2026-05-25,2.0,2.0,2.0,True,,2025-11-14T06:00:00.000Z,,,173,2026-05-15T19:52:47.829Z,2026-05-25T21:00:54.036Z
UVZ MOBILIARIO,uvz.cl,76046773-1,webhook,True,UVZ MOBILIARIO SPA,,"""does_not_exists_in_hubspot""",False,71,True,,"Gran empresa (20 pts), 1 empresa hija (3 pts), 181 trabajadores (3 pts), segmento (0 pts). Sin regulación (0 pts); giro de terminación y acabado de edificios corresponde a construcción/obra civil, fuera de alcance de reguladores específicos. Estimación de 50-200 proveedores (15 pts) por tamaño y naturaleza de negocio constructivo con múltiples subcontratistas y proveedores de materiales. Sin señal externa reportada (0 pts).",Empresa constructora con 181 trabajadores que gestiona múltiples proveedores y contratistas en proyectos de terminación y acabado. Estructura de holding con empresas relacionadas genera complejidad en validación de contrapartes y seguimiento de documentación actualizada.,mining / energía,TERMINACION Y ACABADO DE EDIFICIOS,,,,mfg-retail-hold,hs_checked,2026-W21,2026-05-18,,,,True,,,,,181,2026-05-15T19:55:37.672Z,2026-05-18T15:00:17.519Z
Inmobiliaria Copahue,copahue.cl,76174024-5,webhook,True,CONSTRUCTORA COPAHUE SPA,21579523768.0,"""exists_in_hubspot""",True,60,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 1885 trabajadores (10 pts), segmento (0 pts). Sin regulación (0 pts). Estimación 50-200 proveedores por volumen operativo de construcción residencial (15 pts). Sin señal (0 pts).","Constructora con 1.885 empleados gestiona decenas de subcontratistas, proveedores de materiales y servicios especializados en proyectos residenciales simultáneos. Sin regulación formal externa, pero requiere validación continua de poderes, vigencia de documentos y antecedentes de múltiples contrapartes en diferentes etapas del proyecto.",manufactura / retail,CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL,lead,"""domain""",,util-infra,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,0.0,True,,2025-07-21T08:00:00.000Z,,,345,2026-05-15T20:52:05.795Z,2026-05-25T16:03:38.408Z
Transportes Stange,transportesstange.cl,76043800-6,webhook,True,TRANSPORTES STANGE E HIJOS SPA,,"""does_not_exists_in_hubspot""",False,61,True,,"gran empresa (20 pts), 1 empresa hija (3 pts), 67 trabajadores (3 pts), segmento sin clasificar (0 pts). Sin regulación específica (0 pts): transporte de carga por carretera no está bajo CMF, Sernageomin, SEC, CNE, SISS ni SUBTEL. Estimación 50-200 proveedores (15 pts): operador logístico de mediano tamaño típicamente gestiona múltiples contratistas y proveedores de servicios. Sin señal externa reportada (0 pts).","Empresa de transporte de carga con 67 trabajadores y estructura holding maneja múltiples contrapartes (proveedores, transportistas asociados, clientes). Requiere validación continua de licencias, documentación vehicular y antecedentes. Sin mecanismo formal de monitoreo post-aprobación.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,hs_checked,2026-W21,2026-05-18,,,,True,,,,,177,2026-05-15T19:54:12.541Z,2026-05-18T15:00:16.536Z
CONSTRUCTORA VIMAC SPA,vimac.cl,76046845-2,webhook,True,CONSTRUCTORA VIMAC SPA,,"""does_not_exists_in_hubspot""",False,60,True,,"Gran empresa (20 pts), 4 empresas hijas (15 pts), 272 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts); construcción residencial no requiere regulador sectorial. Estimación de 50-200 proveedores (15 pts) por volumen operativo de obra civil y cadena de suministros típica del sector. Sin señal (0 pts).","Constructora con 272 trabajadores y estructura de 4 filiales gestiona múltiples proveedores y contratistas en proyectos residenciales. Compleja cadena de suministros, documentación dispersa, renovaciones periódicas y riesgo de vinculaciones no identificadas entre contrapartes.",manufactura / retail,CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL,,,,util-infra,hs_checked,2026-W22,2026-05-25,,,,True,,,,,183,2026-05-15T19:56:19.791Z,2026-05-25T20:01:00.781Z
Biodiversa,biodiversa.com,76047175-5,webhook,True,BIODIVERSA S.A.,19728360018.0,sent_to_clay,True,78,True,,"gran empresa (20 pts), 2 empresas hijas (8 pts), 352 trabajadores (5 pts), segmento (0 pts). SISS (15 pts) por giro explícito en agua potable y tratamiento sanitario. Estimación 50-200 proveedores (15 pts) por volumen operativo y especialización requerida en servicios de tratamiento e infraestructura. Sin señal externa (0 pts).","Empresa sanitaria regulada que gestiona captación, tratamiento y distribución de agua con 352 trabajadores y estructura holding. Requiere compliance continuo en proveedores, contratistas y servicios especializados bajo supervisión SISS, con renovaciones periódicas y riesgo de incumplimiento normativo.",utilities / infraestructura,"CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA",50020180,"""name""",,util-infra,skipped_hs_lifecycle | lifecycle: 50020180,2026-W21,2026-05-18,,,,,,2025-05-22T08:00:00.000Z,,,186,2026-05-15T19:57:22.984Z,2026-05-18T16:00:29.981Z
SOCIEDAD DE TRANSPORTES Y MOVIMIENTO DE TIERRA LAS VENTANAS-PUCHUNCAVI LIMITADA,,76049643-K,webhook,True,SOCIEDAD DE TRANSPORTES Y MOVIMIENTO DE TIERRA LAS VENTANAS-PUCHUNCAVI LIMITADA,,sent_to_clay,False,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 277 trabajadores (5 pts), segmento (0 pts). Sin regulación específica como transporte de carga (0 pts), estimación de 50-200 proveedores por volumen operativo de carga (15 pts), sin señal externa reportada (0 pts).","Empresa de transporte de carga con 277 trabajadores gestiona múltiples contrapartes (proveedores, contratistas, operadores). Requiere validación continua de documentación, permisos de circulación y antecedentes. Sin monitoreo formalizado, expone riesgo legal y operativo.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,clay_sent,2026-W21,2026-05-20,,,,True,,,,,190,2026-05-15T19:58:47.806Z,2026-05-20T14:50:47.523Z
