Empresa,RUT,Origen,Segmento,num_hijos,num_padres,num_trabajadores,score_v0,vertical_v0,pain_v0,reasoning_v0,score_v1,vertical_v1,pain_v1,reasoning_v1,score_v2,vertical_v2,pain_v2,reasoning_v2,pts_tamaño,pts_holding,pts_trabajadores,pts_regulacion,pts_proveedores
FERROCARRIL DEL PACIFICO S A,96684580-5,Cliente,Utilities / Infraestructura,1,3,729,32,manufactura,Verificación de proveedores en cadena logística ferroviaria compleja,"Empresa de transporte ferroviario sin regulación compliance obligatoria específica (no es financiero, energía, minería o utilities). Tamaño mediano-grande (+20) por tramo ventas 13. Industria de transporte típicamente maneja 50-200 proveedores (+15). Sin señales de eventos urgentes. Sin información de competidores actuales (+0). Sector no está en regulaciones KYB críticas de CMF, SEC, Sernageomin o SISS.",72,otro,"Gestión de riesgos en cadena de suministro ferroviaria, cumplimiento regulatorio de contrapartes en transporte, validación de proveedores y clientes para operaciones de carga","FERROCARRIL DEL PACIFICO es empresa de transporte de carga por ferrocarril, clasificada en segmento 'Otro' ya que no encaja en Financiero, Mining/Energía, Utilities o Manufactura/Retail. Regulación: +30 puntos (regulada por SEC/Superintendencia de Transportes como operador ferroviario crítico de infraestructura). Proveedores: +15 puntos (estimado rango 50-200 proveedores típicos en operaciones ferroviarias: contratistas, suministradores de insumos, servicios logísticos). Señal: 0 puntos (sin información de licitaciones, multas, M&A o regulaciones nuevas). Competencia: 0 puntos (desconocido si utiliza herramientas de compliance especializadas).",76,Utilities/Infraestructura,"Gestión de debida diligencia y cumplimiento normativo de una cadena compleja de proveedores y colaboradores en infraestructura ferroviaria, con múltiples stakeholders regulatorios","La empresa opera en transporte ferroviario de carga, clasificado en Utilities/Infraestructura por ser infraestructura crítica de transporte. Como operador ferroviario, está probablemente regulada por la SEC (Superintendencia de Electricidad y Combustibles) o entes de transporte/infraestructura. Con 729 trabajadores (gran empresa) y 3 empresas matrices (estructura corporativa compleja), estima >200 proveedores típicos en operaciones ferroviarias (combustible, mantención, componentes, logística). Sin señal externa reportada (N/A). El giro requería clasificación manual al no estar en verticales predefinidos.",20,3,8,15,25
SACYR CHILE S A,96786880-9,Cliente,Manufactura / Retail,21,2,2037,42,manufactura,Verificación de proveedores y contratistas en obras de ingeniería civil,"Empresa constructora grande (Tramo 13) con probable volumen medio-alto de proveedores y subcontratistas. Sin embargo, construcción no tiene regulación compliance obligatoria como financiero/minería. No hay señal de urgencia reciente. Score moderado refleja potencial por tamaño y complejidad operativa, pero sin drivers regulatorios fuertes.",56,otro,Evaluación de riesgos de proveedores y contratistas en proyectos de infraestructura; cumplimiento normativo en licitaciones públicas y privadas,"SACYR CHILE opera en construcción de obras de ingeniería civil, sector no regulado por SISS/SEC (reg=0). Como gran empresa constructora, típicamente mantiene entre 50-200 proveedores directos en proyectos simultáneos, asignando +15. La señal +15 corresponde a que empresas constructoras de este tamaño regularmente participan en licitaciones públicas (característica del sector). Competencia desconocida en esta empresa (=0). Segmento 'otro' aplica porque construcción no encaja en categorías especializadas definidas.",90,Utilities/Infraestructura,"Gestión y evaluación de riesgos en cadena de suministro compleja de proveedores de construcción e ingeniería civil, con múltiples niveles de subcontratistas y requisitos regulatorios.","SACYR CHILE es una constructora especializada en obras de ingeniería civil, clasificada en Utilities/Infraestructura. Con 2.037 trabajadores, 21 empresas hijas y operaciones en proyectos de infraestructura, está probablemente regulada por CNE y otras entidades en proyectos de energía e infraestructura crítica (15 pts regulación). Una empresa de este tamaño en construcción e ingeniería civil típicamente maneja >200 proveedores considerando materiales, subcontratistas y servicios especializados (25 pts proveedores). No hay señal externa explícita reportada (0 pts señal).",20,15,10,15,25
MASISA S.A.,96802690-9,Cliente,Manufactura / Retail,7,1,1246,32,manufactura,Verificación de proveedores en cadena de suministro forestal y comercial,"Empresa manufacturera grande (tramo 13) sin regulación compliance obligatoria (-0). Sector forestal típicamente requiere múltiples proveedores de materia prima (50-200 estimados, +15). Tamaño empresa grande (+20). Sin señales de urgencia reciente (+0). No hay información de competencia actual (-0). Score conservador por falta de obligación regulatoria que genere demanda inmediata.",44,manufactura,Gestión de riesgos en cadena de suministro de proveedores de materias primas y componentes forestales; cumplimiento normativo ambiental y de sostenibilidad en adquisiciones,"MASISA es clasificada como Manufactura por su giro de fabricación de tableros a base de madera. Regulación: 0 pts (no regulada por organismos específicos como CMF, SISS o SEC). Proveedores: 20 pts (estimado 50-200 proveedores típicos en industria maderera - forestales, químicos, logística). Señal: 0 pts (sin licitaciones, multas, M&A o nuevas regulaciones reportadas). Competencia: 0 pts (desconocido si usa herramientas de compliance externas). Como gran empresa con cadena de suministro compleja, presenta alto potencial para Plutto en due diligence de proveedores y gestión de riesgos reputacionales/ambientales.",75,Manufactura Retail,"Gestión y evaluación de riesgos en una cadena compleja de proveedores de materias primas (madera, químicos, insumos) y distribuidores, con múltiples operaciones en diferentes regiones.","MASISA es fabricante de tableros y productos de madera, clasificada en Manufactura Retail por su actividad de transformación y comercialización de productos derivados de la madera. Con 1.246 trabajadores y 7 empresas hijas, opera a escala industrial significativa. No está regulada por CMF, Sernageomin, SEC o CNE específicamente (no es minería, energía, financiero ni utilities). Dada su tamaño (gran empresa) y complejidad operacional con múltiples filiales, se estima maneja >200 proveedores en su cadena de suministro (materias primas forestales, químicos, equipos, logística). Sin señal externa reportada (N/A).",20,15,10,0,25
INCHCAPE AUTOMOTRIZ CHILE S.A.,96856360-2,Cliente,Manufactura / Retail,1,1,350,22,manufactura,Verificación de proveedores y distribuidores en cadena automotriz compleja,"Empresa mediana (Tramo 13) sin regulación compliance obligatoria específica (-30 puntos). Industria automotriz típicamente maneja volumen moderado de proveedores/distribuidores (+15 puntos). Sin señales de eventos urgentes. Sector no regulado como financiero, energía o minería, lo que reduce significativamente la necesidad crítica de soluciones KYB especializadas. Score bajo refleja que aunque existe potencial de compliance, no hay presión regulatoria que justifique inversión inmediata en plataforma.",44,manufactura,Evaluación y monitoreo continuo de proveedores y distribuidores en la cadena de suministro automotriz para mitigar riesgos operacionales y de cumplimiento normativo,"Inchcape es distribuidor mayorista de vehículos automotores, clasificado en Manufactura/Retail por su operación de venta al por mayor. Regulación: 0 puntos (sector automotriz no está regulado por autoridades específicas de compliance como CMF). Proveedores: 20 puntos (estimado rango 50-200 proveedores considerando su rol de distribuidor mayorista con múltiples fabricantes y proveedores de repuestos/servicios). Señal: 0 puntos (sin información de licitaciones, multas, M&A o nuevas regulaciones). Competencia: 0 puntos (información de herramientas de verificación desconocida). El segmento es manufactura por su naturaleza de comercio de productos manufacturados al por mayor.",58,Manufactura Retail,"Gestión y evaluación de riesgo de múltiples proveedores de vehículos, componentes y servicios automotrices en una cadena de suministro compleja","Inchcape es una empresa de venta mayorista de vehículos automotores, clasificada en Manufactura Retail por su modelo de distribución y volumen. Con 350 trabajadores y como gran empresa, típicamente gestiona una red extensa de proveedores de manufactura, logística y servicios (>200 proveedores estimado = 25 puntos). No está regulada por CMF, Sernageomin, SEC o CNE específicamente (0 puntos regulación). No hay señal externa reportada (0 puntos). El pain point principal es la debida diligencia y evaluación continua de riesgos en su compleja cadena de proveedores automotrices, donde Plutto podría agregar valor significativo.",20,3,5,0,25
COOKE AQUACULTURE CHILE SA,96926970-8,Cliente,Manufactura / Retail,0,2,441,32,manufactura,Verificación de proveedores en cadena de suministro acuícola y cumplimiento ambiental,"Empresa mediana (tramo 13) en acuicultura marina sin regulación compliance obligatoria explícita como financiero/minería. Sector acuícola típicamente maneja 50-150 proveedores (insumos, logística, servicios) sumando +15. Tamaño mediano +12. Sin señales de eventos urgentes. Industria tiene presiones regulatorias ambientales pero no KYB obligatorio como otros sectores. Score moderado por potencial de proveedores pero bajo por ausencia de compliance legal imperativo.",39,otro,"Evaluación y monitoreo de proveedores de insumos, servicios y colaboradores en cadena de suministro acuícola; gestión de riesgos regulatorios y de reputación en operaciones de cultivo marino","Empresa clasificada en segmento 'Otro' porque cultivo de peces marinos no encaja en Financiero, Mining/Energía, Utilities/Infraestructura ni Manufactura/Retail estándar. Regulación: 0 puntos (no regulada por SISS/SEC). Proveedores: 15 puntos (estimado rango 50-200 proveedores típico en operaciones acuícolas de gran escala con múltiples insumos, servicios logísticos y colaboradores). Señal: 0 puntos (sin información de licitaciones, multas, M&A o nueva regulación). Competencia: 0 puntos (información desconocida sobre herramientas de compliance utilizadas).",70,Manufactura Retail,"Gestionar la debida diligencia de proveedores de insumos, servicios logísticos y equipamiento para operaciones acuícolas, cumpliendo regulaciones sanitarias y ambientales.","Cooke Aquaculture es una empresa de cultivo y crianza de peces marinos, clasificada en Manufactura Retail por ser productora de bienes. Con 441 trabajadores es gran empresa (20 pts). Está regulada por Sernageomin y autoridades sanitarias (15 pts) dado que la acuicultura requiere permisos ambientales y control de impacto. Como operación de gran escala con múltiples sitios, probablemente maneja >200 proveedores de alimentos, medicinas, equipos y servicios logísticos (25 pts). Sin señal externa reportada (0 pts). Pain point: necesita evaluar riesgo de proveedores críticos para la cadena productiva.",20,0,5,15,25
BANCO DE CREDITO E INVERSIONES,97006000-6,Cliente,Financiero,22,1,8924,85,financiero,Verificación masiva de contrapartes y compliance regulatorio CMF continuo,Banco grande (tramo 13) con obligación legal CMF (+30). Maneja cientos de proveedores y contrapartes (+25). Gran empresa (+20). Sin señal reciente identificada (+0). Posible uso de soluciones competidoras legacy (-10). Score alto por regulación obligatoria y volumen operativo masivo que justifica automatización KYB.,84,financiero,"Gestión de riesgo de contrapartes y cumplimiento de obligaciones de debida diligencia sobre proveedores, clientes y colaboradores según normativas CMF","BCI es banco regulado por CMF con obligación legal de verificar contrapartes → 40 puntos regulación. Como gran empresa (tramo SII 13) típicamente gestiona >200 proveedores en su cadena de suministro y operaciones → 20 puntos proveedores. Sin señales identificadas de licitación, multa, M&A o nueva regulación → 0 puntos señal. Desconocido si usa herramientas de compliance especializadas → 0 puntos competencia.",88,Financiero,"Gestión del riesgo de cumplimiento normativo en la evaluación de proveedores, clientes y terceros dentro del ecosistema financiero regulado.","Se clasifica como Financiero debido a que BANCO DE CREDITO E INVERSIONES es explícitamente un banco, institutor financiero que requiere cumplimiento normativo CMF. Regulación: 15 puntos porque los bancos chilenos están obligatoriamente regulados por la CMF. Proveedores: 25 puntos porque un banco de esta magnitud (8924 trabajadores, gran empresa) típicamente gestiona más de 200 proveedores en categorías diversas (servicios tecnológicos, logística, consultorías, infraestructura). Señal: 0 puntos porque no hay señal externa proporcionada (N/A). El ICP es alto para Plutto dado el tamaño, complejidad regulatoria y necesidad crítica de diligencia debida en el sector financiero.",20,15,10,15,25
SCOTIABANK CHILE,97018000-1,Cliente,Financiero,18,1,6119,85,financiero,Verificación masiva de contrapartes y cumplimiento normativo CMF continuo,Regulación CMF obligatoria (+30). Gran empresa con miles de proveedores y contrapartes (+25). Tamaño: gran empresa bancaria (+20). Sin señal reciente identificada (+0). Posible competencia en soluciones de compliance (-10). Score alto por criticidad regulatoria y volumen operacional masivo del sector financiero.,84,financiero,"Gestión de riesgo de contrapartes y cumplimiento de obligaciones de debida diligencia en relaciones con proveedores, clientes y colaboradores bajo supervisión de la CMF","Scotiabank Chile es una institución financiera regulada por la CMF con obligación explícita de verificar contrapartes (+40 regulación). Como banco de gran tamaño operativo, mantiene una base significativa de proveedores y colaboradores (estimado >200, +20 proveedores). No se identifican señales de M&A, licitaciones, multas o nueva regulación relevante en el período (0 puntos). Sin información de competencia verificada, se asigna 0 puntos en este criterio.",88,Financiero,"Gestión de riesgo en la evaluación de proveedores y contrapartes financieras, cumplimiento normativo complejo ante CMF, y debida diligencia exhaustiva en transacciones de alto volumen.","Scotiabank Chile es un banco sistémico clasificado como gran empresa (6.119 trabajadores, 18 empresas hijas). El giro 'ACTIVIDADES BANCARIAS' se clasifica claramente en el vertical Financiero. Está regulado por la CMF (Comisión para el Mercado Financiero), principal regulador de instituciones financieras en Chile, lo que suma 15 puntos. Por su tamaño, estructura compleja y naturaleza bancaria, maneja más de 200 proveedores (servicios tecnológicos, outsourcing, proveedores operacionales) sumando 25 puntos. No hay señal externa registrada (0 puntos). El pain_point se enfoca en la necesidad crítica de Plutto para instituciones financieras: evaluación rigurosa de contrapartes, cumplimiento normativo y detección de riesgos en ecosistemas complejos.",20,15,10,15,25
LATAM TRADE CAPITAL S.A.,99595990-9,Cliente,Financiero,1,2,113,45,financiero,Verificación de contrapartes y cumplimiento normativo CMF en operaciones financieras,"Empresa de servicios financieros con obligación CMF de compliance (+30). Tramo 11 indica mediana-gran empresa (+12). Sin señales de urgencia reciente identificadas (0). Volumen de proveedores indeterminado, asumiendo moderado para sector (+10). No hay información sobre competidores actuales, sin descuento aplicado. Score conservador por falta de señales inmediatas de conversion pero potencial regulatorio claro.",76,financiero,Verificación de contrapartes y debida diligencia en operaciones financieras para cumplir obligaciones regulatorias de la CMF,"LATAM TRADE CAPITAL S.A. opera en 'Otras actividades de servicios financieros' (código SII que cae bajo regulación CMF). Se asignan 40 puntos en regulación por ser entidad financiera sujeta a obligaciones de verificación de contrapartes. En proveedores se asignan 12 puntos estimando un rango de 50-200 proveedores típico para una gran empresa de servicios financieros sin información específica. Sin señal de M&A, licitación o multa se asignan 0 puntos. Competencia en 0 por desconocimiento de herramientas utilizadas. La empresa es un cliente ideal para Plutto dada su necesidad regulatoria de KYB.",59,Financiero,Gestión y evaluación de riesgos de contrapartes financieras y proveedores de servicios en transacciones de comercio internacional,"La empresa LATAM TRADE CAPITAL S.A. se clasifica en el vertical Financiero porque su giro explicita 'OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS'. El nombre también refuerza esta clasificación (TRADE CAPITAL sugiere servicios financieros de comercio). Regulación: 15 puntos - Como prestador de servicios financieros, está probablemente regulada por la CMF (Comisión para el Mercado Financiero). Proveedores: 15 puntos - Una empresa de servicios financieros de este tamaño (gran empresa, 113 trabajadores) típicamente gestiona entre 50-200 proveedores (bancos, plataformas tecnológicas, asesores legales, proveedores de datos). Señal externa: 0 puntos - No se proporciona información de señales externas (N/A). El giro operacional sugiere que Plutto sería altamente relevante para evaluar contrapartes en transacciones financieras y comerciales internacionales.",20,3,3,15,15
SIGDO KOPPERS S A,99598300-1,Cliente,Financiero,11,6,34,65,financiero,Verificación de contrapartes y cumplimiento regulatorio CMF en operaciones de inversión,Empresa financiera regulada por CMF (+30) con obligación compliance. Gran empresa tramo 13 (+20). Alto volumen de proveedores/contrapartes estimado en sector de fondos de inversión (+25). Sin señal reciente identificada (+0). Potencial competencia existente no confirmada (-10).,76,financiero,"Evaluación y monitoreo continuo del riesgo de contrapartes (clientes, proveedores, intermediarios) para cumplir obligaciones de debida diligencia exigidas por la CMF","Sigdo Koppers es clasificada como entidad financiera (FONDOS Y SOCIEDADES DE INVERSION) regulada por CMF, por lo que obtiene 40 puntos en regulación. En proveedores se asignan 12 puntos considerando un rango estimado de 50-200 proveedores típico para una gran empresa financiera. Sin señales de licitación, multa o M&A en información disponible, obtiene 0 puntos. Competencia: desconocido si utiliza herramientas especializadas, por lo que 0 puntos. El segmento es Financiero dado el giro específico en fondos e inversiones.",68,Financiero,Gestión de debida diligencia en la evaluación de contrapartes financieras y cumplimiento normativo ante regulador (CMF),"SIGDO KOPPERS es una sociedad de inversión/entidad financiera según su giro oficial, clasificándola en vertical Financiero. Como entidad financiera en Chile, está regulada por la CMF (Comisión para el Mercado Financiero), otorgando 15 puntos. Con 34 trabajadores y estructura de 11 empresas hijas + 6 padres, es una gran empresa que probablemente gestiona entre 50-200 proveedores (15 puntos). No hay señal externa reportada (N/A = 0 puntos). El principal dolor es asegurar compliance regulatorio y evaluación de riesgos en contrapartes del ecosistema financiero.",20,15,0,15,15
EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,61219000-3,Funnel,Utilities / Infraestructura,3,2,4987,42,utilities,Verificación de proveedores en operaciones críticas de transporte público masivo,"Empresa estatal grande (Tramo 13) con obligaciones de compliance moderadas en sector transporte. No tiene regulación compliance obligatoria explícita como financiero/minería (-30), pero maneja múltiples proveedores críticos para infraestructura (+15). Tamaño gran empresa (+20). Sin señal de urgencia inmediata (N/A) y potencial competidor existente en sector público (-10). Oportunidad en KYB para cadena proveedores, pero compliance no es mandatorio como en otros verticales.",89,otro,"Gestión de riesgos en proveedores y contratistas críticos de infraestructura de transporte, cumplimiento normativo de seguridad y debida diligencia en colaboradores operacionales","Clasificado como 'Otro' porque Metro S.A. es transporte urbano, no encaja en segmentos específicos. Regulación: 30 puntos (regulada por autoridades de transporte/SISS como infraestructura crítica). Proveedores: 15 puntos (50-200 proveedores estimados en mantenimiento, operación y servicios). Señal: 15 puntos (licitación pública permanente como empresa estatal). Competencia: 0 puntos (información desconocida sobre herramientas de compliance utilizadas).",90,Utilities/Infraestructura,"Gestión y evaluación de riesgos en cadena de suministro compleja con cientos de proveedores de servicios críticos, mantenimiento y operaciones para transporte masivo","Metro S.A. es empresa de transporte urbano masivo, clasificada en Utilities/Infraestructura por ser infraestructura crítica de movilidad urbana. Está regulada por autoridades externas (Superintendencia de Transporte, regulaciones de seguridad y operación). Con 4.987 trabajadores y operaciones de transporte masivo, gestiona más de 200 proveedores (construcción, mantención, repuestos, servicios). Sin señal externa explícita (N/A). El pain_point es que requiere debida diligencia rigurosa en proveedores dada la criticidad del servicio público y riesgos asociados.",20,15,10,15,25
ESVAL S.A.,76000739-0,Funnel,Utilities / Infraestructura,0,2,853,65,utilities,Verificación de proveedores en sector regulado con múltiples contrapartes operacionales,"ESVAL es empresa de utilidad pública regulada por SISS (+30 compliance obligatorio). Tramo ventas 13 indica gran empresa (+20). Como operador de agua potable gestiona numerosos proveedores de obras, servicios y suministros, estimado entre 100-200 proveedores (+15). Sin señal reciente identificada (+0). Sector utilities con obligaciones de verificación de contrapartes por regulación sanitaria y contratación pública. Alto potencial como cliente B2B compliance.",72,utilities,"Gestión de riesgos en cadena de suministro de proveedores críticos para servicios de agua potable y saneamiento, con cumplimiento normativo SISS","ESVAL es empresa estatal regulada por SISS en servicios de agua potable y alcantarillado (Región de Valparaíso). Clasificada en Utilities/Infraestructura: +30 por regulación SISS obligatoria. Proveedores estimados 50-200 (servicios de operación, mantenimiento, infraestructura típicos de distribuidora): +15. Sin señales de licitación específica, M&A o nueva regulación reportada: 0. Competencia desconocida: 0.",73,Utilities/Infraestructura,"Gestionar la debida diligencia de cientos de proveedores en sectores críticos (construcción, química, logística) manteniendo cumplimiento regulatorio de la Superintendencia de Servicios Sanitarios","ESVAL es una empresa estatal de agua potable y saneamiento en Valparaíso, claramente clasificada en Utilities/Infraestructura por su giro de 'captación, tratamiento y distribución de agua'. Con 853 trabajadores (gran empresa) y 2 empresas matrices (estructura estatal), está altamente regulada por entidades como la Superintendencia de Servicios Sanitarios (regulador específico del sector). Dada su tamaño y naturaleza de infraestructura crítica, probablemente maneja >200 proveedores en áreas como construcción, mantenimiento, químicos y logística. No hay señal externa reportada (N/A). El pain point principal es gestionar compliance y KYB de múltiples proveedores en un sector fuertemente regulado.",20,0,8,15,25
SOPROLE S.A.,76101812-4,Funnel,Manufactura / Retail,3,1,1462,42,manufactura,Verificación de proveedores en cadena de suministro alimentaria con estándares de inocuidad,"Empresa grande (tramo 13) en manufactura alimentaria sin compliance regulatorio obligatorio como financiero/minería (-30). Sector manufactura típicamente maneja 50-200 proveedores (+15). Tamaño gran empresa (+20). Sin señales de urgencia identificadas (N/A). Sin información de competidor usado, asumiendo posible existencia (-10). Score moderado por falta de presión regulatoria directa pero potencial en gestión de riesgo de proveedores.",61,manufactura,"Gestión de riesgos en cadena de suministro de proveedores de ingredientes y materiales de empaque, con enfoque en compliance regulatorio y evaluación de contrapartes críticas para la seguridad alimentaria","SOPROLE es una gran empresa de elaboración de productos lácteos, clasificada en Manufactura. Regulación: 0 pts (industria alimentaria no regulada por autoridades específicas mencionadas en criterios). Proveedores: +35 pts (empresa de manufactura de gran escala típicamente con >200 proveedores de materias primas, insumos y servicios logísticos). Señal: 0 pts (sin información de licitaciones, multas, M&A o nuevas regulaciones). Competencia: 0 pts (sin información sobre herramientas de compliance utilizadas, se asume desconocido).",75,Manufactura Retail,Gestión y evaluación de riesgos en una cadena extensa de proveedores de materias primas e insumos para producción láctea a escala industrial,"SOPROLE es una empresa manufacturera de productos lácteos de gran escala (1462 trabajadores, gran empresa). Se clasifica en 'Manufactura Retail' por ser procesadora industrial con distribución. No está regulada por CMF, Sernageomin, SEC o CNE (no es financiera, minería, energía ni utilities). Dado su tamaño y complejidad operativa, probablemente maneja >200 proveedores (materias primas lácteas, insumos, envases, logística). Sin señal externa reportada (N/A). El pain point crítico es la debida diligencia en proveedores, esencial para garantizar calidad, seguridad alimentaria y compliance en una industria sensible.",20,15,10,0,25
INTERCHILE S.A.,76257379-2,Funnel,Mining / Energía,1,2,122,65,utilities,Verificación de proveedores y contratistas en cadena de suministro energética regulada,"Transmisora eléctrica con obligación compliance SEC/CNE (+30). Gran empresa (tramo 13) (+20). Sector utilities maneja típicamente 50-200 proveedores en operaciones y mantenimiento (+15). Sin señales recientes de eventos urgentes. Potencial usuario de soluciones compliance establecidas, pero tamaño y regulación sectorial justifican score moderado-alto.",72,utilities,"Gestión de riesgo en la cadena de proveedores y contratistas del sector eléctrico, cumplimiento normativo de la SEC en evaluación de contrapartes, y debida diligencia en proveedores críticos de infraestructura energética.","INTERCHILE es transmisora de energía eléctrica, regulada por la SEC (Superintendencia de Electricidad y Combustibles), por lo que obtiene 30 puntos en regulación. Se asume rango 50-200 proveedores típico para empresas de transmisión (15 puntos). No hay señales de licitación, multa, M&A o nueva regulación documentadas (0 puntos). Sin información sobre herramientas de compliance conocidas, se asigna 0 en competencia. Segmento Utilities/Infraestructura es el más apropiado para sector eléctrico regulado.",61,Mining/Energía,"Gestión y evaluación de riesgos de proveedores y colaboradores en cadena de suministro de transmisión eléctrica, cumplimiento regulatorio ante CNE y debida diligencia de contrapartes.","El giro 'TRANSMISION DE ENERGIA ELECTRICA' clasifica claramente en Mining/Energía. Como empresa transmisora de electricidad en Chile, INTERCHILE está regulada por la CNE (Comisión Nacional de Energía) = 15 puntos. Con 122 trabajadores (gran empresa) y estructura corporativa (1 empresa hija, 2 padres), probablemente maneja entre 50-200 proveedores en operaciones de transmisión = 15 puntos. Sin señal externa reportada = 0 puntos. El dolor principal es la necesidad de evaluar y monitorear proveedores/contratistas bajo regulación energética estricta.",20,3,3,15,15
CONSTRUCTORA ASFALCURA SPA,76298660-4,Funnel,Manufactura / Retail,3,1,433,37,manufactura,Verificación de proveedores en proyectos de infraestructura con múltiples contrapartes,"Construcción de carreteras tiene volumen moderado-alto de proveedores (+15), tamaño mediano por tramo 12 (+12). No tiene regulación compliance obligatoria específica como financiero/minería (-30). Sin señal reciente de evento disparador. Potencial moderado en verificación de contrapartes para licitaciones, pero sin urgencia inmediata.",89,utilities,Gestión de riesgos en cadena de proveedores de obras públicas y cumplimiento normativo en licitaciones estatales,Constructora clasificada en Utilities/Infraestructura por su giro en construcción de carreteras y líneas férreas (obras de infraestructura reguladas). Regulación: +30 pts por estar regulada por SEC (fiscalización de sociedades anónimas) y sujeta a normativas de obras públicas. Proveedores: +15 pts (rango 50-200 estimado para constructoras de este tamaño que requieren múltiples subcontratos pero no masivos). Señal: +15 pts por participación en licitaciones públicas (signal implícito en giro de construcción de obras del Estado). Competencia: 0 pts (información insuficiente sobre herramientas de compliance utilizadas).,85,Utilities/Infraestructura,Gestión y evaluación de riesgos en cadena de proveedores de construcción y contratistas especializados en proyectos de infraestructura vial,"La empresa se clasifica en Utilities/Infraestructura por su giro específico en construcción de carreteras y líneas de ferrocarril, que son proyectos de infraestructura crítica. Recibe 15 puntos en regulación porque este tipo de proyectos están regulados por entidades como el MOP y posiblemente SEC en procesos licitatorios. Recibe 25 puntos en proveedores dado que una gran empresa (433 trabajadores) en construcción de infraestructura típicamente gestiona más de 200 proveedores (hormigón, asfalto, maquinaria, subcontratos especializados, logística). Sin señal externa reportada, obtiene 0 puntos en ese rubro.",20,15,5,15,25
TECNO FAST S.A.,76320186-4,Funnel,Mining / Energía,6,2,1361,17,manufactura,Verificación de proveedores en proyectos de construcción y acabados,"Construcción sin regulación compliance obligatoria (-30). Tramo 13 indica empresa mediana (+12). Construcción típicamente maneja 50-200 proveedores (+15). Sin señal reciente ni información de competidores actuales. Lead de bajo potencial para Plutto por ausencia de obligativos normativos como en financiero, minería o utilities.",39,otro,"Gestión de riesgo en cadena de proveedores de construcción y subcontratistas en proyectos de terminación y acabado, donde proliferan pequeñas empresas con alta rotación y potencial incumplimiento normativo.","TECNO FAST S.A. opera en terminación y acabado de edificios, sector que no es Financiero, Mining/Energía, Utilities/Infraestructura ni Manufactura/Retail, por lo que se clasifica como 'otro'. Regulación: 0 puntos (no regulada por SISS/SEC). Proveedores: 15 puntos (estimado 50-200 proveedores típicos en empresas constructoras de gran tamaño que subcontratan múltiples especialidades). Señal: 0 puntos (sin información de licitación, multa, M&A o nueva regulación). Competencia: 0 puntos (sin información disponible sobre herramientas de compliance utilizadas).",65,Manufactura Retail,Gestión y evaluación de riesgos en la cadena de proveedores de materiales y subcontratistas especializados en construcción,"La empresa se clasifica en 'Manufactura Retail' ya que el giro de 'Terminación y acabado de edificios' corresponde a servicios de construcción/acabados, que es parte del sector construcción-manufactura. Con 1361 trabajadores y 6 empresas hijas, es una gran empresa con operaciones complejas que requiere supervisar múltiples proveedores de materiales y subcontratistas. Se estima entre 50-200 proveedores (puntuación 15) dada la naturaleza de la actividad. No hay regulación específica de CMF, Sernageomin, SEC o CNE aplicable (puntuación 0). Sin señal externa reportada (puntuación 0). El principal dolor resuelto por Plutto sería la evaluación de riesgos de proveedores y subcontratistas en un sector con alta rotación y complejidad operacional.",20,15,10,0,15
NS AGRO S.A.,76364071-K,Funnel,Financiero,2,8,131,65,financiero,Cumplimiento regulatorio CMF en verificación de contrapartes e inversores,Fondos de inversión regulados por CMF (+30). Tramo ventas 12 indica empresa mediana (+12). Típicamente manejan 50-200 proveedores/contrapartes (+15). Sin señal de urgencia inmediata identificada (+0). Sin información de competencia actual (+0). Score moderado-alto por obligación compliance regulatoria crítica en sector financiero.,76,financiero,"Verificación y debida diligencia de contrapartes (clientes, proveedores, inversores) para cumplir obligaciones de la CMF y mitigar riesgos de lavado de activos y financiamiento del terrorismo","NS AGRO S.A. es una entidad financiera (fondos y sociedades de inversión) regulada por CMF con obligación legal de verificar contrapartes, por lo que obtiene 40 puntos en regulación. En proveedores se asignan 12 puntos asumiendo una base de 50-200 contrapartes típicas del sector (sin información específica disponible). No hay señales de eventos relevantes (licitaciones, multas, M&A, nueva regulación) por lo que corresponde 0 puntos. Competencia desconocida = 0 puntos. El segmento es Financiero dado el giro principal de la empresa.",64,Financiero,"Gestionar la debida diligencia y evaluación de riesgos de múltiples proveedores y entidades financieras en su estructura corporativa compleja (8 empresas padres, 2 hijas).","NS AGRO S.A. se clasifica en vertical Financiero debido a su giro explícito como 'FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES'. Regulación: 15 puntos porque como entidad financiera de inversión está probablemente regulada por CMF (Comisión para el Mercado Financiero). Proveedores: 15 puntos estimando 50-200 proveedores dada su estructura compleja (131 trabajadores, 8 empresas padres, 2 hijas) y naturaleza financiera que requiere múltiples contrapartes. Señal externa: 0 puntos porque no se proporciona información de señales (N/A). El tamaño de gran empresa (20 puntos) ya está contabilizado en datos.",20,8,3,15,15
